Page Count, Touch Count, Fault Count, Extra Faults
100000, 170, 170, 0
100000, 171, 171, 0
100000, 172, 172, 0
100000, 173, 173, 0
100000, 174, 174, 0
100000, 175, 175, 0
100000, 176, 176, 0
100000, 177, 177, 0
100000, 178, 178, 0
100000, 179, 179, 0
100000, 180, 180, 0
100000, 181, 181, 0
100000, 182, 182, 0
100000, 183, 183, 0
100000, 184, 184, 0
100000, 185, 185, 0
100000, 186, 186, 0
100000, 187, 187, 0
100000, 188, 188, 0
100000, 189, 189, 0
100000, 190, 190, 0
100000, 191, 191, 0
100000, 192, 192, 0
100000, 193, 193, 0
100000, 194, 194, 0
100000, 195, 195, 0
100000, 196, 196, 0
100000, 197, 197, 0
100000, 198, 198, 0
100000, 199, 199, 0
100000, 200, 200, 0
100000, 201, 201, 0
100000, 202, 202, 0
100000, 203, 203, 0
100000, 204, 204, 0
100000, 205, 205, 0
100000, 206, 206, 0
100000, 207, 207, 0
100000, 208, 208, 0
100000, 209, 209, 0
100000, 210, 210, 0
100000, 211, 211, 0
100000, 212, 212, 0
100000, 213, 213, 0
100000, 214, 214, 0
100000, 215, 215, 0
100000, 216, 216, 0
100000, 217, 217, 0
100000, 218, 218, 0
100000, 219, 219, 0
100000, 220, 220, 0
100000, 221, 221, 0
100000, 222, 222, 0
100000, 223, 223, 0
100000, 224, 224, 0
100000, 225, 225, 0
100000, 226, 226, 0
100000, 227, 227, 0
100000, 228, 228, 0
100000, 229, 229, 0
100000, 230, 230, 0
100000, 231, 231, 0
100000, 232, 232, 0
100000, 233, 233, 0
100000, 234, 234, 0
100000, 235, 235, 0
100000, 236, 236, 0
100000, 237, 237, 0
100000, 238, 238, 0
100000, 239, 239, 0
100000, 240, 240, 0
100000, 241, 241, 0
100000, 242, 242, 0
100000, 243, 243, 0
100000, 244, 244, 0
100000, 245, 245, 0
100000, 246, 246, 0
100000, 247, 247, 0
100000, 248, 248, 0
100000, 249, 249, 0
100000, 250, 250, 0
100000, 251, 251, 0
100000, 252, 252, 0
100000, 253, 253, 0
100000, 254, 254, 0
100000, 255, 255, 0
100000, 256, 256, 0
100000, 257, 257, 0
100000, 258, 258, 0
100000, 259, 259, 0
100000, 260, 260, 0
100000, 261, 261, 0
100000, 262, 262, 0
100000, 263, 263, 0
100000, 264, 264, 0
100000, 265, 265, 0
100000, 266, 266, 0
100000, 267, 267, 0
100000, 268, 268, 0
100000, 269, 269, 0
100000, 270, 270, 0
100000, 271, 271, 0
100000, 272, 272, 0
100000, 273, 273, 0
100000, 274, 274, 0
100000, 275, 275, 0
100000, 276, 276, 0
100000, 277, 277, 0
100000, 278, 278, 0
100000, 279, 279, 0
100000, 280, 280, 0
100000, 281, 281, 0
100000, 282, 282, 0
100000, 283, 283, 0
100000, 284, 284, 0
100000, 285, 285, 0
100000, 286, 286, 0
100000, 287, 287, 0
100000, 288, 288, 0
100000, 289, 289, 0
100000, 290, 290, 0
100000, 291, 291, 0
100000, 292, 292, 0
100000, 293, 293, 0
100000, 294, 294, 0
100000, 295, 295, 0
100000, 296, 296, 0
100000, 297, 297, 0
100000, 298, 298, 0
100000, 299, 299, 0
100000, 300, 300, 0
100000, 301, 301, 0
100000, 302, 302, 0
100000, 303, 303, 0
100000, 304, 304, 0
100000, 305, 305, 0
100000, 306, 306, 0
100000, 307, 307, 0
100000, 308, 308, 0
100000, 309, 309, 0
100000, 310, 310, 0
100000, 311, 311, 0
100000, 312, 312, 0
100000, 313, 313, 0
100000, 314, 314, 0
100000, 315, 315, 0
100000, 316, 316, 0
100000, 317, 317, 0
100000, 318, 318, 0
100000, 319, 319, 0
100000, 320, 320, 0
100000, 321, 321, 0
100000, 322, 322, 0
100000, 323, 323, 0
100000, 324, 324, 0
100000, 325, 325, 0
100000, 326, 326, 0
100000, 327, 327, 0
100000, 328, 328, 0
